0,	1.434380
1,	1.357597
2,	1.313000
3,	1.278739
4,	1.282397
5,	1.250738
6,	1.238314
7,	1.257265
8,	1.223565
9,	1.223209
10,	1.211409
11,	1.202975
12,	1.190304
13,	1.195596
14,	1.204211
15,	1.198522
16,	1.193213
17,	1.208644
18,	1.204655
19,	1.202834
20,	1.205570
21,	1.205582
22,	1.187785
23,	1.184927
24,	1.188128
25,	1.183959
26,	1.186181
27,	1.181725
28,	1.177702
29,	1.178410
30,	1.176458
31,	1.170131
32,	1.171038
33,	1.169370
34,	1.168740
35,	1.165655
36,	1.164173
37,	1.163552
38,	1.157005
39,	1.154761
40,	1.153997
41,	1.153642
42,	1.154686
43,	1.153198
44,	1.152533
45,	1.153629
46,	1.152264
47,	1.149666
48,	1.147428
49,	1.146172
50,	1.147384
51,	1.146826
52,	1.147114
53,	1.145535
54,	1.145421
55,	1.144210
56,	1.144254
57,	1.143042
58,	1.142646
59,	1.142325
