0,	1.818077
1,	1.814319
2,	1.791358
3,	1.762492
4,	1.759043
5,	1.752878
6,	1.729698
7,	1.730786
8,	1.724199
9,	1.718629
10,	1.716952
11,	1.714983
12,	1.709422
13,	1.704919
14,	1.703840
15,	1.714630
16,	1.713970
17,	1.708278
18,	1.705015
19,	1.678798
20,	1.681557
21,	1.683034
22,	1.680916
23,	1.675173
24,	1.675520
25,	1.653260
26,	1.656111
27,	1.661753
28,	1.665111
29,	1.663068
30,	1.665447
31,	1.664857
32,	1.657456
33,	1.645817
34,	1.644650
35,	1.645138
36,	1.640507
37,	1.635566
38,	1.632080
39,	1.627670
40,	1.623014
41,	1.616569
42,	1.614782
43,	1.606849
44,	1.602499
45,	1.602919
46,	1.600448
47,	1.598705
48,	1.592024
49,	1.590735
50,	1.589296
51,	1.580095
52,	1.582756
53,	1.582249
54,	1.576194
55,	1.572191
56,	1.563962
57,	1.562163
58,	1.559141
59,	1.556957
60,	1.558946
61,	1.557351
62,	1.553399
63,	1.552527
64,	1.550095
65,	1.547520
66,	1.545355
67,	1.542650
68,	1.541560
69,	1.540013
70,	1.538678
71,	1.538356
72,	1.537281
73,	1.534662
74,	1.533940
75,	1.531621
76,	1.530036
77,	1.528845
78,	1.527968
79,	1.526541
80,	1.525945
81,	1.524943
82,	1.523469
83,	1.521896
84,	1.520229
85,	1.519498
86,	1.518154
87,	1.518051
88,	1.516345
89,	1.515740
90,	1.514183
91,	1.512746
92,	1.511731
93,	1.508870
94,	1.508462
95,	1.507420
96,	1.505653
97,	1.504328
98,	1.503456
99,	1.501300
100,	1.499725
101,	1.499235
102,	1.498387
103,	1.496588
104,	1.495766
105,	1.494756
106,	1.493737
107,	1.492873
108,	1.491125
109,	1.490247
110,	1.489620
111,	1.488279
112,	1.487427
113,	1.486846
114,	1.486435
115,	1.485274
116,	1.483640
117,	1.482958
118,	1.481760
119,	1.481243
120,	1.480470
121,	1.478846
122,	1.476614
123,	1.475169
124,	1.474485
125,	1.474068
126,	1.472626
127,	1.472033
128,	1.470976
129,	1.470239
130,	1.469282
131,	1.468223
132,	1.467525
133,	1.467080
134,	1.465883
135,	1.465220
136,	1.465014
137,	1.465052
138,	1.463981
139,	1.463554
140,	1.463261
141,	1.462842
142,	1.462034
143,	1.461790
144,	1.461227
145,	1.460550
146,	1.460076
147,	1.459343
148,	1.459072
149,	1.458304
150,	1.457406
151,	1.456667
152,	1.456323
153,	1.455488
154,	1.454950
155,	1.454237
156,	1.454017
157,	1.453536
158,	1.453080
159,	1.452508
